WorkItemID,ProjectID,WorkItemCode,WorkItemName,WorkItemCategory,WorkItemType,PlannedStartDate,PlannedFinishDate,Quantity,UnitOfMeasure,Priority,CurrentStatusID
WIT-000001,PRJ-002,PRJ-002-ITEM-000001,Enhance Innovative Paradigms Package,Mechanical,Inspection,2025-11-02,2026-02-13,348.99,m3,Medium,STS-004
WIT-000002,PRJ-003,PRJ-003-ITEM-000002,Optimize Web-Enabled Niches Package,Electrical,Milestone,2025-12-08,2026-01-05,487.84,ea,High,STS-004
WIT-000003,PRJ-004,PRJ-004-ITEM-000003,Architect End-To-End Networks Package,Interior,Package,2026-04-24,2026-05-09,380.81,lot,Critical,STS-003
WIT-000004,PRJ-005,PRJ-005-ITEM-000004,Syndicate Interactive Info-Mediaries Package,Exterior,Task,2026-04-26,2026-07-22,64.93,hr,Low,STS-004
WIT-000005,PRJ-001,PRJ-001-ITEM-000005,Aggregate Mission-Critical Platforms Package,Safety,Inspection,2026-02-07,2026-05-13,225.74,m2,Medium,STS-004
WIT-000006,PRJ-002,PRJ-002-ITEM-000006,Seize Cutting-Edge E-Markets Package,Structure,Milestone,2026-03-27,2026-05-28,463.46,m3,High,STS-006
WIT-000007,PRJ-003,PRJ-003-ITEM-000007,Cultivate Scalable Methodologies Package,Mechanical,Package,2026-01-30,2026-03-18,322.29,ea,Critical,STS-004
WIT-000008,PRJ-004,PRJ-004-ITEM-000008,Streamline Wireless Supply-Chains Package,Electrical,Task,2025-11-25,2026-01-15,222.26,lot,Low,STS-004
WIT-000009,PRJ-005,PRJ-005-ITEM-000009,Incentivize Dynamic Solutions Package,Interior,Inspection,2025-04-28,2025-08-05,114.39,hr,Medium,STS-004
WIT-000010,PRJ-001,PRJ-001-ITEM-000010,Grow Global E-Commerce Package,Exterior,Milestone,2026-03-29,2026-04-13,32.84,m2,High,STS-004
WIT-000011,PRJ-002,PRJ-002-ITEM-000011,Empower Plug-And-Play Action-Items Package,Safety,Package,2025-12-21,2026-02-27,413.99,m3,Critical,STS-005
WIT-000012,PRJ-003,PRJ-003-ITEM-000012,Grow Mission-Critical Markets Package,Structure,Task,2025-08-31,2025-10-06,379.29,ea,Low,STS-004
WIT-000013,PRJ-004,PRJ-004-ITEM-000013,E-Enable Value-Added Infrastructures Package,Mechanical,Inspection,2026-05-15,2026-07-31,177.91,lot,Medium,STS-004
